Date,ONI,SPI_ideam,SPI_merge,SPEI
2016-10-01,-0.69,-0.6632920948005885,0.692754850461473,-0.197
2016-11-01,-0.67,0.1046885732910836,1.2535090764513717,0.134
2016-12-01,-0.56,0.5072057659778544,1.1762790406673131,0.401
2017-01-01,-0.34,0.9527078721519635,1.5104886398333472,1.086
2017-02-01,-0.16,0.8408641242564622,0.7187038231843433,1.264
2017-03-01,0.05,1.091111157670314,1.513171684396566,0.206
2017-04-01,0.2,0.4502910554495863,0.8925147330374001,0.088
2017-05-01,0.3,-0.1068616639337495,0.5609372444577423,0.307
2017-06-01,0.31,-0.5498553828559932,-0.043132168555879896,0.473
2017-07-01,0.14,-0.1301416121008644,0.1670098336129868,-0.138
2017-08-01,-0.11,-0.6317961074343253,0.12207688971360846,-0.746
2017-09-01,-0.38,-0.4200654884911493,0.021152551897132943,-1.177
2017-10-01,-0.65,-0.3261122193410009,0.36225747522327756,-0.744
2017-11-01,-0.84,-0.04770674096665049,0.7004864690513308,-0.774
2017-12-01,-0.97,-0.3877966618633852,0.5114231820480941,-0.237
2018-01-01,-0.92,0.2937762504347723,0.32047020128417747,0.137
2018-02-01,-0.85,0.4446299749000743,-0.824351634809507,-0.683
2018-03-01,-0.7,0.3307387656899592,-0.07685880040933646,-0.478
2018-04-01,-0.5,-0.03999683932717021,0.16648353060824123,-0.271
2018-05-01,-0.22,0.3196310099478079,0.9930283775525418,0.257
2018-06-01,-0.01,0.9838772043623676,1.7951711734896505,0.698
2018-07-01,0.09,1.133422661586647,1.8704543641391536,0.491
2018-08-01,0.23,0.8656954669626262,1.6197330117967255,0.021
2018-09-01,0.49,0.4938554080037653,0.9976921143153831,-0.031
2018-10-01,0.76,0.1405350914427228,0.5714529207641622,-0.195
2018-11-01,0.9,-0.2680631501382183,-0.31477840232736864,-0.334
2018-12-01,0.81,-0.6631297073361828,-1.0702612559676825,-1.024
2019-01-01,0.75,-1.114814676841155,-1.752590493817772,-1.382
2019-02-01,0.72,-1.944976641354466,-1.7231513857282912,-1.33
2019-03-01,0.71,-0.5811088916637229,-1.008521059140193,-0.024
2019-04-01,0.66,-0.8724852725737396,-0.7475775545521747,-0.024
2019-05-01,0.54,-0.1307861911375061,-0.5103320649204087,0.244
2019-06-01,0.45,-0.2353447416305292,-0.2172201112671777,0.412
2019-07-01,0.28,-0.09541880794263473,0.25849489557787425,-0.037
2019-08-01,0.14,0.04231851172341171,0.6082921197232936,-0.791
2019-09-01,0.19,-0.6134449628546821,0.7864378250649093,-0.309
2019-10-01,0.35,-0.6627179995781127,0.7520751480942394,-0.254
2019-11-01,0.51,-0.6751279470100086,0.48406710572738976,0.05
2019-12-01,0.55,-0.3801925625821004,0.11470930077967681,-0.12
2020-01-01,0.5,-0.2112875779683512,-0.48513658414683863,-0.35
2020-02-01,0.48,-0.6632069359613806,-0.9223459719581985,-0.96
2020-03-01,0.4,-1.672926939535783,-2.2355704300334756,-0.926
2020-04-01,0.19,-1.104346363093087,-1.7571382828924687,-0.832
2020-05-01,-0.08,-0.8897951602481968,-1.7033840644662686,-0.785
2020-06-01,-0.3,-0.5332160878498272,-1.6944610417427717,-0.771
2020-07-01,-0.41,-0.295169300530893,-1.6554294196427832,-0.37
2020-08-01,-0.57,-0.4163307891819039,-1.0638996667346057,0.264
