CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Valor,geometry
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,74.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,0.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,0.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,35.5,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,135.7,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,221.2,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,243.2,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,376.3,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,118.2,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,55.1,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,29.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,49.8,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,40.6,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,0.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,0.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,0.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,118.3,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,208.5,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,226.7,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,233.7,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,154.6,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,97.6,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,88.3,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,21.9,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,0.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,0.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,1.5,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,0.4,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,1.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,19.8,POINT (-70.73805556000001 7.069444444)
